iter	RMSE
1057	65495.27593
1058	65474.50934
1059	65455.03078
1060	65448.17193
1061	65437.59894
1062	65430.49838
1063	65426.75423
1064	65425.46613
1065	65415.51978
1066	65407.57445
1067	65405.17467
1068	65403.845
1069	65389.05437
1070	65373.73115
1071	65371.67163
1072	65354.80745
1073	65338.63885
1074	65337.43593
1075	65334.71044
1076	65333.29927
1077	65330.02954
1078	65320.34688
1079	65313.38942
1080	65303.5384
1081	65298.7834
1082	65287.80216
1083	65285.53058
1084	65259.12719
1085	65241.74516
1086	65237.80762
1087	65233.33279
1088	65221.73378
1089	65197.0263
1090	65178.9783
1091	65164.88436
1092	65152.77062
1093	65140.91453
1094	65124.51833
1095	65102.34233
1096	65101.20946
1097	65085.824
1098	65078.86451
1099	65073.79408
1100	65060.72024
1101	65055.30744
1102	65050.89195
1103	65026.24702
1104	65006.79256
1105	65005.33775
1106	64999.15475
1107	64994.0115
1108	64992.53826
1109	64980.83766
1110	64960.86397
1111	64953.29121
1112	64942.31917
1113	64940.73648
1114	64939.75201
1115	64933.32954
1116	64929.58404
1117	64910.00491
1118	64890.27422
1119	64889.14546
1120	64872.13074
1121	64842.79707
1122	64830.35003
1123	64828.74655
1124	64799.05401
1125	64786.19009
1126	64755.3507
1127	64754.0412
1128	64746.06793
1129	64739.72286
1130	64726.25026
1131	64716.29066
1132	64703.76211
1133	64687.95571
1134	64675.32212
1135	64664.01415
1136	64662.55518
1137	64653.03022
1138	64625.74618
1139	64624.27162
1140	64617.77165
1141	64602.77308
1142	64571.31271
1143	64540.87857
1144	64529.73442
1145	64521.46081
1146	64513.24203
1147	64510.40525
1148	64500.71234
1149	64499.25804
1150	64484.06363
1151	64467.45844
1152	64458.08626
1153	64450.57831
1154	64447.20681
1155	64446.18911
1156	64444.22138
1157	64443.2264
1158	64428.80621
1159	64412.34701
1160	64411.15093
1161	64409.95562
1162	64384.67271
1163	64370.51302
1164	64368.82732
1165	64353.7711
1166	64337.66958
1167	64307.47882
1168	64297.3173
1169	64285.94857
1170	64281.24791
1171	64261.1199
1172	64245.6405
1173	64221.52159
1174	64220.30287
1175	64192.39407
1176	64187.40556
1177	64179.65703
1178	64164.06124
1179	64152.98196
1180	64148.52662
1181	64143.08853
1182	64132.71576
1183	64121.15381
1184	64104.92499
1185	64101.55121
1186	64089.5957
1187	64088.18977
1188	64086.24763
1189	64081.45139
1190	64073.02905
1191	64070.16686
1192	64068.42406
1193	64060.96244
1194	64052.16794
1195	64047.82754
1196	64040.54642
1197	64025.36913
1198	63997.98105
1199	63974.8348
1200	63961.18687
1201	63945.25644
1202	63906.97719
1203	63901.83431
1204	63888.73765
1205	63866.05621
1206	63860.36268
1207	63853.19556
1208	63837.25077
1209	63836.09716
1210	63817.33331
1211	63798.14291
1212	63795.77681
1213	63793.44426
1214	63773.97038
1215	63770.82729
1216	63753.42075
1217	63744.50687
1218	63743.5385
1219	63736.49803
1220	63690.45361
1221	63688.17666
1222	63684.31554
1223	63663.39015
1224	63652.77163
1225	63640.55987
1226	63633.58943
1227	63617.87665
1228	63616.62312
1229	63580.89209
1230	63562.55982
1231	63560.54492
1232	63556.2379
1233	63554.08292
1234	63548.53274
1235	63547.39261
1236	63541.24683
1237	63535.83541
1238	63532.14424
1239	63507.4891
1240	63492.49371
1241	63472.43609
1242	63459.52515
1243	63454.09297
1244	63450.0541
1245	63438.97976
1246	63426.36449
1247	63416.1516
1248	63384.66537
1249	63379.63243
1250	63370.66717
1251	63345.11477
1252	63327.74182
1253	63303.21615
1254	63288.52212
1255	63259.94127
1256	63239.1595
1257	63225.34071
1258	63213.82271
1259	63206.95448
1260	63203.28192
1261	63187.58522
1262	63181.08454
1263	63177.34261
1264	63176.34776
1265	63166.4461
1266	63162.54832
1267	63142.54607
1268	63128.43891
1269	63126.81526
1270	63111.42946
1271	63083.1516
1272	63069.75377
1273	63048.8346
1274	63031.74458
1275	63027.90392
1276	63008.29837
1277	62994.19271
1278	62973.20275
1279	62950.00152
1280	62937.30211
1281	62928.03308
1282	62922.59354
1283	62885.54019
1284	62883.72127
1285	62882.74203
1286	62868.94812
1287	62856.09834
1288	62841.70337
1289	62826.22
1290	62818.44671
1291	62811.77695
1292	62785.01986
1293	62778.85217
1294	62753.28717
1295	62742.25956
1296	62720.6638
1297	62716.14437
1298	62710.20099
1299	62700.59429
1300	62690.61583
1301	62659.06928
1302	62644.04685
1303	62630.05154
1304	62619.81751
1305	62602.55928
1306	62582.33317
1307	62576.84877
1308	62563.53458
1309	62539.49276
1310	62531.75103
1311	62500.77234
1312	62489.62736
1313	62465.96644
1314	62457.36731
1315	62439.44076
1316	62429.75644
1317	62410.35385
1318	62391.64116
1319	62355.4781
1320	62342.10707
1321	62324.08847
1322	62309.82898
1323	62294.56866
1324	62292.26526
1325	62273.25094
1326	62259.50128
1327	62247.95422
1328	62246.88102
1329	62230.11558
1330	62223.25704
1331	62205.56033
1332	62183.70274
1333	62148.28979
1334	62118.30858
1335	62112.60817
1336	62104.78188
1337	62104.222
1338	62082.95286
1339	62065.78351
1340	62049.70536
1341	62021.43902
1342	62019.91414
1343	62002.63405
1344	61992.25715
1345	61971.93707
1346	61970.88763
1347	61949.42875
1348	61945.69272
1349	61917.49095
1350	61916.75995
1351	61883.45554
1352	61875.84609
1353	61872.59936
1354	61854.10037
1355	61838.189
1356	61827.11685
1357	61791.87183
1358	61779.60584
1359	61769.18093
1360	61759.63634
1361	61736.97287
1362	61718.2922
1363	61713.69112
1364	61709.32872
1365	61708.57376
1366	61693.85376
1367	61685.40146
1368	61684.46733
1369	61663.91317
1370	61642.33558
1371	61603.61914
1372	61599.05799
1373	61593.61288
1374	61574.80806
1375	61572.49859
1376	61554.39277
1377	61540.30216
1378	61506.37372
1379	61479.10209
1380	61470.22776
1381	61439.24486
1382	61433.42432
1383	61414.30575
1384	61400.89725
1385	61396.61248
1386	61390.37796
1387	61387.00748
1388	61377.53151
1389	61366.7308
1390	61343.50081
1391	61311.23041
1392	61296.19548
1393	61292.35778
1394	61289.3297
1395	61286.7608
1396	61271.47491
1397	61270.55533
1398	61256.43114
1399	61238.59434
1400	61237.15918
1401	61226.83768
1402	61212.32706
1403	61208.86984
1404	61207.13756
1405	61203.13624
1406	61195.87009
1407	61178.05039
1408	61168.58408
1409	61156.08527
1410	61153.6977
1411	61137.28821
1412	61128.23897
1413	61113.92962
1414	61099.68989
1415	61098.21592
1416	61086.88203
1417	61076.81332
1418	61068.4925
1419	61051.26552
1420	61047.82011
1421	61032.18387
1422	60999.61376
1423	60995.46645
1424	60988.52034
1425	60962.55355
1426	60955.5703
1427	60940.7498
1428	60930.88663
1429	60916.42077
1430	60903.13687
1431	60902.06243
1432	60891.10229
1433	60887.36014
1434	60873.27037
1435	60854.22753
1436	60837.09908
1437	60834.61462
1438	60817.11193
1439	60813.29436
1440	60786.4603
1441	60774.12977
1442	60763.92921
1443	60751.36405
1444	60750.21296
1445	60747.5323
1446	60724.04864
1447	60707.33218
1448	60700.74086
1449	60688.50548
1450	60659.54816
1451	60638.23416
1452	60629.7941
1453	60620.60323
1454	60610.09946
1455	60593.4024
1456	60569.70954
1457	60553.48623
1458	60525.99243
1459	60513.20046
1460	60490.06907
1461	60485.01762
1462	60478.06708
1463	60452.14496
1464	60449.11369
1465	60440.86367
1466	60428.39242
1467	60423.56788
1468	60419.07563
1469	60418.36939
1470	60416.3425
1471	60401.28792
1472	60400.32247
1473	60377.96666
1474	60368.10026
1475	60363.07973
1476	60340.21726
1477	60336.56984
1478	60328.84338
1479	60322.33265
1480	60312.63662
1481	60298.78255
1482	60277.59495
1483	60276.72087
1484	60272.74203
1485	60264.53684
1486	60257.24787
1487	60248.08106
1488	60221.4619
1489	60216.96981
1490	60195.45852
1491	60178.1341
1492	60166.99878
1493	60157.6311
1494	60130.27608
1495	60118.23187
1496	60097.97771
1497	60085.33374
1498	60067.15358
1499	60044.59789
1500	60032.75608
1501	60005.32289
1502	59979.09595
1503	59975.91198
1504	59975.11557
1505	59967.76743
1506	59936.26636
1507	59920.91512
1508	59918.35083
1509	59910.34706
1510	59896.07115
1511	59882.87787
1512	59869.03805
1513	59844.66353
1514	59830.58764
1515	59805.75699
1516	59782.59887
1517	59767.77397
1518	59757.55107
1519	59748.54171
1520	59745.11499
1521	59732.50235
1522	59717.60103
1523	59700.09534
1524	59685.03254
1525	59658.28617
1526	59633.04328
1527	59629.40149
1528	59628.44136
1529	59615.44086
1530	59603.49718
1531	59583.55318
1532	59569.96958
1533	59565.85845
1534	59544.40894
1535	59541.30836
1536	59529.127
1537	59516.96166
1538	59494.8263
1539	59484.29659
1540	59471.35896
1541	59449.26701
1542	59432.15819
1543	59421.889
1544	59405.92372
1545	59389.84628
1546	59387.73092
1547	59385.4074
1548	59384.08713
1549	59370.51443
1550	59363.86996
1551	59354.31939
1552	59348.99262
1553	59326.79372
1554	59306.98992
1555	59300.9282
1556	59281.48143
1557	59273.86348
1558	59266.89665
1559	59255.48085
1560	59253.77685
1561	59242.35944
